mill_id,recipe_id,period,planned_hours,planned_tons,planned_days,available_hours,utilization_pct,scenario_id
M1,R1,2020-01,159.87,7530.849999999999,30,616.0,25.95,base
M1,R1,2020-02,137.77,6489.2,29,588.5,23.41,base
M1,R1,2020-03,139.27,6559.12,30,616.0,22.61,base
M1,R1,2020-04,106.75,5027.92,23,616.0,17.33,base
M1,R1,2020-05,40.62,1913.72,8,627.0,6.48,base
M1,R1,2020-06,159.01,7489.33,30,616.0,25.81,base
M1,R1,2020-07,90.54,4264.32,25,594.0,15.24,base
M1,R1,2020-08,187.88,8848.66,30,616.0,30.5,base
M1,R1,2020-09,195.8,9222.12,30,616.0,31.79,base
M1,R1,2020-10,194.16,9144.09,31,627.0,30.97,base
M1,R1,2020-11,178.1,8389.12,29,594.0,29.98,base
M1,R1,2020-12,171.48,8076.32,30,616.0,27.84,base
M1,R1,2021-01,151.15,7119.89,31,627.0,24.11,base
M1,R1,2021-02,119.65,5636.32,27,550.0,21.75,base
M1,R1,2021-03,132.89,6259.15,31,638.0,20.83,base
M1,R1,2021-04,42.04,1979.87,11,588.5,7.14,base
M1,R1,2021-05,82.21,3871.84,19,632.5,13.0,base
M1,R1,2021-06,141.1,6645.37,28,577.5,24.43,base
M1,R1,2021-07,77.77,3663.52,22,605.0,12.85,base
M1,R1,2021-08,183.26,8631.48,31,638.0,28.72,base
M1,R1,2021-09,164.71,7758.4400000000005,26,539.0,30.56,base
M1,R1,2021-10,169.23,7970.84,29,583.0,29.03,base
M1,R1,2021-11,176.83,8329.21,30,616.0,28.71,base
M1,R1,2021-12,161.54,7608.51,31,632.5,25.54,base
M1,R1,2022-01,130.33,6137.78,29,583.0,22.36,base
M1,R1,2022-02,115.8,5454.08,28,572.0,20.24,base
M1,R1,2022-03,106.16,5000.88,28,572.0,18.56,base
M1,R1,2022-04,5.36,252.27,1,594.0,0.9,base
M1,R1,2022-05,118.54,5582.5,29,610.5,19.42,base
M1,R1,2022-06,133.08,6268.46,29,594.0,22.4,base
M1,R1,2022-07,67.47,3178.54,20,605.0,11.15,base
M1,R1,2022-08,166.60999999999999,7848.02,30,616.0,27.05,base
M1,R1,2022-09,170.7,8039.84,29,594.0,28.74,base
M1,R1,2022-10,166.85,7857.9,30,605.0,27.58,base
M1,R1,2022-11,165.49,7795.8099999999995,30,616.0,26.87,base
M1,R1,2022-12,132.16,6224.3,27,550.0,24.03,base
M1,R1,2023-01,134.48,6333.4,31,632.5,21.26,base
M1,R1,2023-02,101.24000000000001,4768.53,27,550.0,18.41,base
M1,R1,2023-03,76.48,3601.54,21,621.5,12.31,base
M1,R1,2023-04,25.41,1196.18,9,583.0,4.36,base
M1,R1,2023-05,116.41,5482.89,31,638.0,18.25,base
M1,R1,2023-06,46.3,2181.01,21,594.0,7.79,base
M1,R1,2023-07,137.47,6476.13,30,605.0,22.72,base
M1,R1,2023-08,164.01,7725.56,30,621.5,26.39,base
M1,R1,2023-09,159.91,7531.25,29,594.0,26.92,base
M1,R1,2023-10,163.76,7712.91,30,610.5,26.82,base
M1,R1,2023-11,155.32,7316.26,30,616.0,25.21,base
M1,R1,2023-12,133.27,6277.58,30,605.0,22.03,base
M1,R1,2024-01,122.87,5787.45,30,616.0,19.95,base
M1,R1,2024-02,90.74,4273.3,27,550.0,16.5,base
M1,R1,2024-03,27.09,1276.12,10,627.0,4.32,base
M1,R1,2024-04,66.92999999999999,3153.1,17,594.0,11.27,base
M1,R1,2024-05,108.87,5128.12,29,621.5,17.52,base
M1,R1,2024-06,35.2,1658.82,19,583.0,6.04,base
M1,R1,2024-07,128.62,6058.5,29,594.0,21.65,base
M1,R1,2024-08,151.71,7144.6,30,616.0,24.63,base
M1,R1,2024-09,144.88,6823.36,29,588.5,24.62,base
M1,R1,2024-10,158.02,7441.71,30,616.0,25.65,base
M1,R1,2024-11,127.21,5990.99,27,544.5,23.36,base
M1,R1,2024-12,129.03,6076.25,30,616.0,20.95,base
M1,R1,2025-01,116.59,5491.02,31,638.0,18.27,base
M1,R1,2025-02,86.73,4084.13,24,555.5,15.61,base
M1,R1,2025-03,4.01,188.68,1,605.0,0.66,base
M1,R1,2025-04,86.05,4053.32,24,616.0,13.97,base
M1,R1,2025-05,92.37,4349.81,26,632.5,14.6,base
M1,R1,2025-06,26.39,1243.8400000000001,20,588.5,4.48,base
M1,R1,2025-07,129.23,6087.64,31,638.0,20.26,base
M1,R1,2025-08,140.44,6614.07,31,627.0,22.4,base
M1,R1,2025-09,145.02,6830.54,30,616.0,23.54,base
M1,R1,2025-10,155.81,7339.89,31,638.0,24.42,base
M1,R1,2025-11,122.22,5757.28,29,583.0,20.96,base
M1,R1,2025-12,121.33,5715.67,30,616.0,19.7,base
