mill_id,date,recipe_id,planned_hours,actual_hours,status,changeover_hours,tons_produced
M1,2020-01-01,R2,13.7,13.61,completed,0.0,756.39
M1,2020-01-01,R1,6.8,6.53,completed,1.5,320.15
M2,2020-01-01,R2,17.19,17.23,completed,0.0,756.39
M2,2020-01-01,R1,3.31,3.21,completed,1.5,129.39
M3,2020-01-01,R2,20.0,20.35,completed,0.0,486.0
M1,2020-01-02,R2,13.56,13.86,completed,0.0,748.26
M1,2020-01-02,R1,6.94,7.07,completed,1.5,327.09
M2,2020-01-02,R2,17.01,17.07,completed,0.0,748.26
M2,2020-01-02,R1,3.49,3.5,completed,1.5,136.62
M3,2020-01-02,R2,20.0,20.23,completed,0.0,486.0
M2,2020-01-03,R2,16.11,16.18,completed,0.0,708.86
M3,2020-01-03,R2,15.0,15.3,completed,0.0,364.5
M1,2020-01-04,R2,12.65,13.05,completed,0.0,698.11
M1,2020-01-04,R1,2.35,2.36,completed,1.5,110.83
M2,2020-01-04,R2,15.87,15.37,completed,0.0,698.11
M1,2020-01-05,R2,13.9,13.49,completed,0.0,767.45
M1,2020-01-05,R1,6.6,6.53,completed,1.5,310.71
M2,2020-01-05,R2,17.44,17.44,completed,0.0,767.45
M2,2020-01-05,R1,3.06,2.99,completed,1.5,119.57
M3,2020-01-05,R2,20.0,19.92,completed,0.0,486.0
M1,2020-01-06,R2,13.72,13.32,completed,0.0,757.17
M1,2020-01-06,R1,6.78,6.64,completed,1.5,319.49
M2,2020-01-06,R2,17.21,17.53,completed,0.0,757.17
M2,2020-01-06,R1,3.29,3.42,completed,1.5,128.7
M1,2020-01-07,R2,13.76,13.41,completed,0.0,759.35
M1,2020-01-07,R1,6.74,6.66,completed,1.5,317.63
M2,2020-01-07,R2,17.26,17.05,completed,0.0,759.35
M2,2020-01-07,R1,3.24,3.17,completed,1.5,126.76
M3,2020-01-07,R2,20.0,19.53,completed,0.0,486.0
M1,2020-01-08,R2,13.62,13.22,completed,0.0,751.66
M1,2020-01-08,R1,6.88,7.11,completed,1.5,324.19
M2,2020-01-08,R2,17.08,17.29,completed,0.0,751.66
M2,2020-01-08,R1,3.42,3.36,completed,1.5,133.6
M3,2020-01-08,R2,20.0,19.61,completed,0.0,486.0
M1,2020-01-09,R2,14.15,14.26,completed,0.0,781.31
M1,2020-01-09,R1,6.35,6.45,completed,1.5,298.89
M2,2020-01-09,R2,17.76,17.41,completed,0.0,781.31
M2,2020-01-09,R1,2.74,2.71,completed,1.5,107.25
M3,2020-01-09,R2,20.0,19.66,completed,0.0,486.0
M1,2020-01-10,R2,12.94,12.52,completed,0.0,714.49
M1,2020-01-10,R1,2.06,2.04,completed,1.5,96.85
M2,2020-01-10,R2,16.24,16.28,completed,0.0,714.49
M3,2020-01-10,R2,15.0,15.19,completed,0.0,364.5
M1,2020-01-11,R2,12.89,12.8,completed,0.0,711.37
M1,2020-01-11,R1,2.11,2.19,completed,1.5,99.52
M2,2020-01-11,R2,16.17,16.33,completed,0.0,711.37
M3,2020-01-11,R2,15.0,15.46,completed,0.0,364.5
M1,2020-01-12,R2,13.82,14.28,completed,0.0,762.99
M1,2020-01-12,R1,6.68,6.85,completed,1.5,314.52
M2,2020-01-12,R2,17.34,17.02,completed,0.0,762.99
M2,2020-01-12,R1,3.16,3.14,completed,1.5,123.53
M3,2020-01-12,R2,20.0,19.2,completed,0.0,486.0
M1,2020-01-13,R2,13.95,13.89,completed,0.0,769.91
M1,2020-01-13,R1,6.55,6.44,completed,1.5,308.62
M2,2020-01-13,R2,17.5,16.95,completed,0.0,769.91
M2,2020-01-13,R1,3.0,3.08,completed,1.5,117.38
M3,2020-01-13,R2,20.0,20.28,completed,0.0,486.0
M1,2020-01-14,R2,14.2,14.77,completed,0.0,783.87
M1,2020-01-14,R1,6.3,6.3,completed,1.5,296.7
