date,country,wheat_price_sar_per_ton,availability_tons
2020-01-01,Saudi Arabia,1478.01,33693
2020-01-01,Egypt,1363.9,11396
2020-01-01,Pakistan,1231.86,30658
2020-01-01,Turkey,1428.37,23942
2020-01-01,Australia,1633.74,5189
2020-01-01,Canada,1671.16,24118
2020-01-02,Saudi Arabia,1442.67,6267
2020-01-02,Egypt,1461.2,36551
2020-01-02,Pakistan,1347.09,46606
2020-01-02,Turkey,1447.53,35740
2020-01-02,Australia,1639.99,13792
2020-01-02,Canada,1700.53,48323
2020-01-03,Saudi Arabia,1421.51,28897
2020-01-03,Egypt,1447.36,7612
2020-01-03,Pakistan,1272.62,28483
2020-01-03,Turkey,1421.45,22159
2020-01-03,Australia,1685.48,24457
2020-01-03,Canada,1653.75,6021
2020-01-04,Saudi Arabia,1614.57,45757
2020-01-04,Egypt,1451.19,14692
2020-01-04,Pakistan,1332.98,34127
2020-01-04,Turkey,1460.29,45397
2020-01-04,Australia,1613.08,13529
2020-01-04,Canada,1640.11,22262
2020-01-05,Saudi Arabia,1485.87,26243
2020-01-05,Egypt,1446.58,44099
2020-01-05,Pakistan,1259.08,45774
2020-01-05,Turkey,1459.68,7568
2020-01-05,Australia,1627.22,10258
2020-01-05,Canada,1728.77,27002
2020-01-06,Saudi Arabia,1546.4,17666
2020-01-06,Egypt,1442.41,43660
2020-01-06,Pakistan,1313.62,27662
2020-01-06,Turkey,1479.04,13392
2020-01-06,Australia,1594.83,28599
2020-01-06,Canada,1749.14,40222
2020-01-07,Saudi Arabia,1554.5,24115
2020-01-07,Egypt,1455.35,15965
2020-01-07,Pakistan,1303.13,13110
2020-01-07,Turkey,1496.15,18773
2020-01-07,Australia,1674.72,38270
2020-01-07,Canada,1735.46,11910
2020-01-08,Saudi Arabia,1482.27,28419
2020-01-08,Egypt,1420.18,46523
2020-01-08,Pakistan,1378.64,19820
2020-01-08,Turkey,1480.09,45342
2020-01-08,Australia,1691.77,38827
2020-01-08,Canada,1798.35,21198
2020-01-09,Saudi Arabia,1475.38,48585
2020-01-09,Egypt,1387.65,48689
2020-01-09,Pakistan,1327.77,7693
2020-01-09,Turkey,1504.04,34467
2020-01-09,Australia,1636.53,47941
2020-01-09,Canada,1728.25,26834
