date,country,wheat_price_sar_per_ton,availability_tons
2020-01-01,United States,922.74,11213
2020-01-01,Australia,869.01,6422
2020-01-01,Canada,989.0,5927
2020-01-01,Argentina,789.04,5357
2020-01-01,Germany,927.21,3705
2020-01-01,Romania,844.79,6550
2020-01-02,United States,952.06,4547
2020-01-02,Australia,877.35,12663
2020-01-02,Canada,1002.11,9820
2020-01-02,Argentina,816.78,7256
2020-01-02,Germany,915.44,4519
2020-01-02,Romania,844.73,3276
2020-01-03,United States,965.78,7865
2020-01-03,Australia,849.66,8178
2020-01-03,Canada,976.22,6461
2020-01-03,Argentina,803.9,3767
2020-01-03,Germany,904.29,4353
2020-01-03,Romania,846.91,4653
2020-01-04,United States,959.18,5191
2020-01-04,Australia,857.38,14895
2020-01-04,Canada,1012.81,5101
2020-01-04,Argentina,812.87,6421
2020-01-04,Germany,898.53,3874
2020-01-04,Romania,916.03,3670
2020-01-05,United States,937.81,8218
2020-01-05,Australia,883.54,8491
2020-01-05,Canada,958.87,8511
2020-01-05,Argentina,811.1,6512
2020-01-05,Germany,938.33,4330
2020-01-05,Romania,833.19,4293
2020-01-06,United States,986.26,10984
2020-01-06,Australia,867.94,16393
2020-01-06,Canada,980.08,14250
2020-01-06,Argentina,807.94,2653
2020-01-06,Germany,921.23,7000
2020-01-06,Romania,859.67,4263
2020-01-07,United States,970.37,10364
2020-01-07,Australia,883.27,16608
2020-01-07,Canada,984.47,10877
2020-01-07,Argentina,802.3,6118
2020-01-07,Germany,895.01,7645
2020-01-07,Romania,858.57,6817
2020-01-08,United States,959.68,10745
2020-01-08,Australia,847.4,13182
2020-01-08,Canada,964.01,11530
2020-01-08,Argentina,848.91,7301
2020-01-08,Germany,903.09,8748
2020-01-08,Romania,855.38,2800
2020-01-09,United States,942.08,4984
2020-01-09,Australia,849.11,10403
2020-01-09,Canada,1008.29,6224
2020-01-09,Argentina,753.71,4518
2020-01-09,Germany,922.68,8048
2020-01-09,Romania,915.71,7255
2020-01-10,United States,983.62,4258
2020-01-10,Australia,868.24,9204
2020-01-10,Canada,991.43,14253
2020-01-10,Argentina,798.38,4564
2020-01-10,Germany,896.87,7388
2020-01-10,Romania,900.47,6215
2020-01-11,United States,958.3,7090
2020-01-11,Australia,860.57,16316
2020-01-11,Canada,961.88,8346
2020-01-11,Argentina,817.24,2525
2020-01-11,Germany,900.47,5559
2020-01-11,Romania,857.55,7167
2020-01-12,United States,950.4,8364
2020-01-12,Australia,902.52,10903
2020-01-12,Canada,999.1,14504
2020-01-12,Argentina,814.77,4867
2020-01-12,Germany,944.67,8658
2020-01-12,Romania,865.42,4511
2020-01-13,United States,909.7,5671
2020-01-13,Australia,877.68,17954
2020-01-13,Canada,1006.62,9205
2020-01-13,Argentina,806.79,2918
2020-01-13,Germany,912.96,8891
2020-01-13,Romania,865.74,3826
2020-01-14,United States,942.72,9435
2020-01-14,Australia,911.39,9060
2020-01-14,Canada,985.42,12309
2020-01-14,Argentina,823.68,5488
2020-01-14,Germany,933.02,7193
2020-01-14,Romania,863.23,5034
2020-01-15,United States,955.93,5301
2020-01-15,Australia,854.5,8207
2020-01-15,Canada,1012.26,11796
2020-01-15,Argentina,793.22,2863
2020-01-15,Germany,920.05,8429
2020-01-15,Romania,873.48,6393
2020-01-16,United States,934.62,11900
2020-01-16,Australia,897.11,17091
2020-01-16,Canada,987.45,10113
2020-01-16,Argentina,817.93,3269
2020-01-16,Germany,929.96,7541
2020-01-16,Romania,872.88,4111
2020-01-17,United States,965.32,4881
2020-01-17,Australia,878.88,16681
2020-01-17,Canada,995.69,12454
2020-01-17,Argentina,803.89,4475
2020-01-17,Germany,919.49,6627
2020-01-17,Romania,927.93,3354
2020-01-18,United States,958.67,5551
2020-01-18,Australia,882.87,6803
2020-01-18,Canada,967.31,6257
2020-01-18,Argentina,791.72,5357
2020-01-18,Germany,951.33,5537
2020-01-18,Romania,868.67,7428
2020-01-19,United States,953.27,8417
2020-01-19,Australia,913.05,16401
2020-01-19,Canada,1013.14,7668
2020-01-19,Argentina,843.1,4551
2020-01-19,Germany,938.7,8738
2020-01-19,Romania,898.56,6864
2020-01-20,United States,920.83,4992
2020-01-20,Australia,871.0,10891
2020-01-20,Canada,997.23,13924
2020-01-20,Argentina,797.86,4104
2020-01-20,Germany,886.74,5213
2020-01-20,Romania,853.1,6113
2020-01-21,United States,903.64,11546
2020-01-21,Australia,887.03,9315
2020-01-21,Canada,1001.76,9416
2020-01-21,Argentina,846.07,2814
2020-01-21,Germany,919.96,7076
2020-01-21,Romania,888.14,6872
2020-01-22,United States,999.17,6721
2020-01-22,Australia,895.16,14718
2020-01-22,Canada,987.13,11346
2020-01-22,Argentina,860.7,3813
2020-01-22,Germany,954.83,5669
2020-01-22,Romania,898.6,3746
2020-01-23,United States,969.01,4456
2020-01-23,Australia,899.41,11931
2020-01-23,Canada,996.1,9222
2020-01-23,Argentina,809.21,3384
2020-01-23,Germany,966.56,5621
2020-01-23,Romania,869.99,3670
2020-01-24,United States,991.61,11491
2020-01-24,Australia,853.19,11993
2020-01-24,Canada,979.23,13753
2020-01-24,Argentina,825.86,6811
2020-01-24,Germany,911.78,7122
2020-01-24,Romania,851.53,5319
2020-01-25,United States,949.78,9267
2020-01-25,Australia,897.13,17284
2020-01-25,Canada,988.74,9074
2020-01-25,Argentina,802.25,2935
2020-01-25,Germany,922.13,3446
