date,sku_id,forecast_tons,confidence_level
2020-01-01,SKU001,30.93,0.89
2020-01-01,SKU002,28.01,0.88
2020-01-01,SKU003,8.01,0.9
2020-01-01,SKU004,29.31,0.85
2020-01-01,SKU005,19.63,0.95
2020-01-01,SKU006,31.4,0.81
2020-01-01,SKU007,17.83,0.86
2020-01-01,SKU008,14.01,0.82
2020-01-01,SKU009,12.77,0.83
2020-01-01,SKU010,9.1,0.88
2020-01-01,SKU011,21.19,0.83
2020-01-01,SKU012,15.95,0.86
2020-01-01,SKU013,19.59,0.93
2020-01-01,SKU014,11.89,0.82
2020-01-02,SKU001,37.89,0.88
2020-01-02,SKU002,21.13,0.82
2020-01-02,SKU003,8.35,0.88
2020-01-02,SKU004,30.6,0.78
2020-01-02,SKU005,22.07,0.92
2020-01-02,SKU006,33.37,0.82
2020-01-02,SKU007,20.78,0.85
2020-01-02,SKU008,13.33,0.89
2020-01-02,SKU009,12.14,0.77
2020-01-02,SKU010,9.62,0.81
2020-01-02,SKU011,18.57,0.81
2020-01-02,SKU012,15.62,0.89
2020-01-02,SKU013,17.09,0.87
2020-01-02,SKU014,12.31,0.78
2020-01-03,SKU001,31.06,0.77
2020-01-03,SKU002,19.71,0.95
2020-01-03,SKU003,7.53,0.92
2020-01-03,SKU004,25.99,0.95
2020-01-03,SKU005,19.63,0.94
2020-01-03,SKU006,25.0,0.78
2020-01-03,SKU007,15.4,0.87
2020-01-03,SKU008,13.57,0.87
2020-01-03,SKU009,11.4,0.76
2020-01-03,SKU010,8.64,0.91
2020-01-03,SKU011,18.19,0.77
2020-01-03,SKU012,13.5,0.8
2020-01-03,SKU013,15.07,0.85
2020-01-03,SKU014,11.74,0.93
2020-01-04,SKU001,35.04,0.83
2020-01-04,SKU002,23.81,0.78
2020-01-04,SKU003,8.14,0.91
2020-01-04,SKU004,26.5,0.8
2020-01-04,SKU005,17.78,0.76
2020-01-04,SKU006,26.61,0.85
2020-01-04,SKU007,15.46,0.88
2020-01-04,SKU008,11.8,0.79
2020-01-04,SKU009,11.97,0.88
2020-01-04,SKU010,8.65,0.82
2020-01-04,SKU011,19.89,0.87
2020-01-04,SKU012,14.43,0.8
2020-01-04,SKU013,17.09,0.77
2020-01-04,SKU014,11.7,0.87
2020-01-05,SKU001,34.32,0.79
2020-01-05,SKU002,27.72,0.87
2020-01-05,SKU003,9.21,0.87
2020-01-05,SKU004,33.21,0.88
2020-01-05,SKU005,18.76,0.8
2020-01-05,SKU006,29.12,0.87
2020-01-05,SKU007,16.53,0.87
2020-01-05,SKU008,16.1,0.86
2020-01-05,SKU009,11.91,0.93
2020-01-05,SKU010,8.77,0.84
2020-01-05,SKU011,19.67,0.77
2020-01-05,SKU012,15.32,0.77
2020-01-05,SKU013,17.3,0.8
2020-01-05,SKU014,13.32,0.9
2020-01-06,SKU001,34.07,0.84
2020-01-06,SKU002,24.02,0.82
2020-01-06,SKU003,6.97,0.83
2020-01-06,SKU004,32.75,0.92
2020-01-06,SKU005,20.65,0.88
2020-01-06,SKU006,30.88,0.86
2020-01-06,SKU007,18.67,0.77
2020-01-06,SKU008,17.01,0.91
2020-01-06,SKU009,12.85,0.79
2020-01-06,SKU010,10.61,0.8
2020-01-06,SKU011,20.44,0.78
2020-01-06,SKU012,12.93,0.83
2020-01-06,SKU013,17.44,0.89
2020-01-06,SKU014,11.43,0.92
2020-01-07,SKU001,35.8,0.76
2020-01-07,SKU002,24.68,0.77
2020-01-07,SKU003,8.82,0.91
2020-01-07,SKU004,32.76,0.84
2020-01-07,SKU005,20.06,0.8
2020-01-07,SKU006,28.99,0.78
2020-01-07,SKU007,17.41,0.78
2020-01-07,SKU008,16.12,0.87
2020-01-07,SKU009,12.78,0.79
2020-01-07,SKU010,11.65,0.8
2020-01-07,SKU011,20.38,0.89
2020-01-07,SKU012,16.96,0.84
2020-01-07,SKU013,16.78,0.83
2020-01-07,SKU014,12.41,0.82
2020-01-08,SKU001,35.13,0.82
2020-01-08,SKU002,26.08,0.9
2020-01-08,SKU003,8.44,0.89
2020-01-08,SKU004,27.35,0.88
2020-01-08,SKU005,22.12,0.94
2020-01-08,SKU006,30.96,0.82
2020-01-08,SKU007,18.24,0.88
2020-01-08,SKU008,15.26,0.77
2020-01-08,SKU009,12.66,0.76
2020-01-08,SKU010,11.02,0.89
2020-01-08,SKU011,21.06,0.76
2020-01-08,SKU012,16.4,0.92
2020-01-08,SKU013,17.29,0.82
2020-01-08,SKU014,13.65,0.85
2020-01-09,SKU001,34.72,0.77
2020-01-09,SKU002,26.78,0.92
2020-01-09,SKU003,8.24,0.78
2020-01-09,SKU004,25.94,0.93
2020-01-09,SKU005,20.83,0.89
2020-01-09,SKU006,28.96,0.79
2020-01-09,SKU007,18.23,0.87
2020-01-09,SKU008,12.96,0.94
2020-01-09,SKU009,13.77,0.94
2020-01-09,SKU010,9.53,0.78
2020-01-09,SKU011,20.09,0.9
2020-01-09,SKU012,16.67,0.81
2020-01-09,SKU013,19.99,0.76
2020-01-09,SKU014,12.59,0.83
2020-01-10,SKU001,30.47,0.85
2020-01-10,SKU002,23.67,0.84
2020-01-10,SKU003,6.98,0.94
2020-01-10,SKU004,25.52,0.81
2020-01-10,SKU005,18.75,0.88
2020-01-10,SKU006,22.83,0.9
2020-01-10,SKU007,18.44,0.93
2020-01-10,SKU008,13.27,0.87
2020-01-10,SKU009,10.97,0.76
2020-01-10,SKU010,8.82,0.9
2020-01-10,SKU011,16.89,0.83
2020-01-10,SKU012,11.22,0.84
2020-01-10,SKU013,15.47,0.86
2020-01-10,SKU014,12.34,0.81
2020-01-11,SKU001,35.59,0.85
2020-01-11,SKU002,20.24,0.89
2020-01-11,SKU003,8.21,0.84
2020-01-11,SKU004,28.39,0.85
2020-01-11,SKU005,16.87,0.83
2020-01-11,SKU006,27.34,0.87
2020-01-11,SKU007,16.59,0.87
2020-01-11,SKU008,13.4,0.94
2020-01-11,SKU009,10.78,0.85
2020-01-11,SKU010,9.74,0.76
