date,week,month,year,quarter,day_of_week,is_weekend,is_ramadan,is_hajj,is_eid
2020-01-01,2020-W01,2020-01,2020,1,2,False,False,False,False
2020-01-02,2020-W01,2020-01,2020,1,3,False,False,False,False
2020-01-03,2020-W01,2020-01,2020,1,4,True,False,False,False
2020-01-04,2020-W01,2020-01,2020,1,5,True,False,False,False
2020-01-05,2020-W01,2020-01,2020,1,6,False,False,False,False
2020-01-06,2020-W02,2020-01,2020,1,0,False,False,False,False
2020-01-07,2020-W02,2020-01,2020,1,1,False,False,False,False
2020-01-08,2020-W02,2020-01,2020,1,2,False,False,False,False
2020-01-09,2020-W02,2020-01,2020,1,3,False,False,False,False
2020-01-10,2020-W02,2020-01,2020,1,4,True,False,False,False
2020-01-11,2020-W02,2020-01,2020,1,5,True,False,False,False
2020-01-12,2020-W02,2020-01,2020,1,6,False,False,False,False
2020-01-13,2020-W03,2020-01,2020,1,0,False,False,False,False
2020-01-14,2020-W03,2020-01,2020,1,1,False,False,False,False
2020-01-15,2020-W03,2020-01,2020,1,2,False,False,False,False
2020-01-16,2020-W03,2020-01,2020,1,3,False,False,False,False
2020-01-17,2020-W03,2020-01,2020,1,4,True,False,False,False
2020-01-18,2020-W03,2020-01,2020,1,5,True,False,False,False
2020-01-19,2020-W03,2020-01,2020,1,6,False,False,False,False
2020-01-20,2020-W04,2020-01,2020,1,0,False,False,False,False
2020-01-21,2020-W04,2020-01,2020,1,1,False,False,False,False
2020-01-22,2020-W04,2020-01,2020,1,2,False,False,False,False
2020-01-23,2020-W04,2020-01,2020,1,3,False,False,False,False
2020-01-24,2020-W04,2020-01,2020,1,4,True,False,False,False
2020-01-25,2020-W04,2020-01,2020,1,5,True,False,False,False
2020-01-26,2020-W04,2020-01,2020,1,6,False,False,False,False
2020-01-27,2020-W05,2020-01,2020,1,0,False,False,False,False
2020-01-28,2020-W05,2020-01,2020,1,1,False,False,False,False
2020-01-29,2020-W05,2020-01,2020,1,2,False,False,False,False
2020-01-30,2020-W05,2020-01,2020,1,3,False,False,False,False
2020-01-31,2020-W05,2020-01,2020,1,4,True,False,False,False
2020-02-01,2020-W05,2020-02,2020,1,5,True,False,False,False
2020-02-02,2020-W05,2020-02,2020,1,6,False,False,False,False
2020-02-03,2020-W06,2020-02,2020,1,0,False,False,False,False
2020-02-04,2020-W06,2020-02,2020,1,1,False,False,False,False
2020-02-05,2020-W06,2020-02,2020,1,2,False,False,False,False
