date,flour_type,required_bulk_tons
2020-01-01,Bakery,80.42
2020-01-01,Brown,26.78
2020-01-01,Patent,49.23
2020-01-01,Superior,104.09
2020-01-01,Superior Brown,9.1
2020-01-02,Bakery,82.07000000000001
2020-01-02,Brown,25.47
2020-01-02,Patent,54.15
2020-01-02,Superior,101.56
2020-01-02,Superior Brown,9.62
2020-01-03,Bakery,72.42999999999999
2020-01-03,Brown,24.97
2020-01-03,Patent,40.4
2020-01-03,Superior,89.99000000000001
2020-01-03,Superior Brown,8.64
2020-01-04,Bakery,73.07
2020-01-04,Brown,23.770000000000003
2020-01-04,Patent,42.07
2020-01-04,Superior,101.31
2020-01-04,Superior Brown,8.65
2020-01-05,Bakery,82.59
2020-01-05,Brown,28.01
2020-01-05,Patent,45.650000000000006
2020-01-05,Superior,106.24000000000001
2020-01-05,Superior Brown,8.77
2020-01-06,Bakery,82.27
2020-01-06,Brown,29.86
2020-01-06,Patent,49.55
2020-01-06,Superior,98.43
2020-01-06,Superior Brown,10.61
2020-01-07,Bakery,82.00999999999999
2020-01-07,Brown,28.9
2020-01-07,Patent,46.4
2020-01-07,Superior,106.64
2020-01-07,Superior Brown,11.65
2020-01-08,Bakery,80.41
2020-01-08,Brown,27.92
2020-01-08,Patent,49.2
2020-01-08,Superior,107.11
2020-01-08,Superior Brown,11.02
2020-01-09,Bakery,79.35
2020-01-09,Brown,26.73
2020-01-09,Patent,47.19
2020-01-09,Superior,106.5
2020-01-09,Superior Brown,9.53
2020-01-10,Bakery,72.08
2020-01-10,Brown,24.240000000000002
2020-01-10,Patent,41.269999999999996
2020-01-10,Superior,89.23
2020-01-10,Superior Brown,8.82
2020-01-11,Bakery,73.95
2020-01-11,Brown,24.18
2020-01-11,Patent,43.93
2020-01-11,Superior,96.79
2020-01-11,Superior Brown,9.74
2020-01-12,Bakery,82.53
2020-01-12,Brown,29.270000000000003
2020-01-12,Patent,51.19
2020-01-12,Superior,100.31
2020-01-12,Superior Brown,10.48
2020-01-13,Bakery,82.48
2020-01-13,Brown,27.23
2020-01-13,Patent,50.06
2020-01-13,Superior,111.26
2020-01-13,Superior Brown,8.51
2020-01-14,Bakery,74.75
2020-01-14,Brown,28.34
2020-01-14,Patent,48.1
2020-01-14,Superior,103.27
2020-01-14,Superior Brown,10.48
2020-01-15,Bakery,79.19
2020-01-15,Brown,28.41
2020-01-15,Patent,45.57
2020-01-15,Superior,107.38
2020-01-15,Superior Brown,10.56
2020-01-16,Bakery,82.3
2020-01-16,Brown,27.729999999999997
2020-01-16,Patent,48.72
2020-01-16,Superior,104.57
2020-01-16,Superior Brown,9.52
2020-01-17,Bakery,73.74
2020-01-17,Brown,25.79
2020-01-17,Patent,44.03
2020-01-17,Superior,96.6
2020-01-17,Superior Brown,9.59
2020-01-18,Bakery,75.54
2020-01-18,Brown,23.93
2020-01-18,Patent,47.39
2020-01-18,Superior,100.16
2020-01-18,Superior Brown,9.69
2020-01-19,Bakery,86.84
2020-01-19,Brown,29.61
2020-01-19,Patent,49.25
2020-01-19,Superior,111.88
2020-01-19,Superior Brown,11.47
2020-01-20,Bakery,85.92
2020-01-20,Brown,31.27
2020-01-20,Patent,47.769999999999996
2020-01-20,Superior,104.75999999999999
2020-01-20,Superior Brown,10.24
2020-01-21,Bakery,84.7
2020-01-21,Brown,27.65
2020-01-21,Patent,51.69
2020-01-21,Superior,107.41999999999999
2020-01-21,Superior Brown,10.65
2020-01-22,Bakery,82.13000000000001
2020-01-22,Brown,30.509999999999998
2020-01-22,Patent,50.010000000000005
2020-01-22,Superior,109.28999999999999
2020-01-22,Superior Brown,10.59
2020-01-23,Bakery,84.75
2020-01-23,Brown,29.57
2020-01-23,Patent,47.239999999999995
2020-01-23,Superior,106.55
2020-01-23,Superior Brown,10.26
2020-01-24,Bakery,76.61
2020-01-24,Brown,27.42
2020-01-24,Patent,44.48
2020-01-24,Superior,103.5
2020-01-24,Superior Brown,7.68
2020-01-25,Bakery,73.25999999999999
2020-01-25,Brown,24.88
2020-01-25,Patent,49.05
2020-01-25,Superior,92.34
2020-01-25,Superior Brown,8.41
2020-01-26,Bakery,83.55
2020-01-26,Brown,26.7
2020-01-26,Patent,46.14
2020-01-26,Superior,117.83
2020-01-26,Superior Brown,11.57
2020-01-27,Bakery,85.33
2020-01-27,Brown,27.53
2020-01-27,Patent,45.769999999999996
2020-01-27,Superior,111.47
2020-01-27,Superior Brown,10.29
2020-01-28,Bakery,86.4
2020-01-28,Brown,26.03
2020-01-28,Patent,47.04
