date,flour_type_id,required_tons,scenario_id
2020-01-01,FT001,769.64,base
2020-01-01,FT002,631.89,base
2020-01-01,FT003,189.41000000000005,base
2020-01-01,FT004,221.92,base
2020-01-01,FT005,125.19,base
2020-01-02,FT001,789.53,base
2020-01-02,FT002,595.2,base
2020-01-02,FT003,192.64,base
2020-01-02,FT004,227.3,base
2020-01-02,FT005,140.36,base
2020-01-03,FT002,558.54,base
2020-01-03,FT004,203.8,base
2020-01-03,FT001,760.98,base
2020-01-03,FT005,123.65,base
2020-01-03,FT003,178.86,base
2020-01-04,FT001,757.36,base
2020-01-04,FT002,523.65,base
2020-01-04,FT003,190.5,base
2020-01-04,FT004,214.33,base
2020-01-04,FT005,123.72,base
2020-01-05,FT001,827.47,base
2020-01-05,FT002,600.9300000000001,base
2020-01-05,FT003,194.27,base
2020-01-05,FT004,225.47000000000003,base
2020-01-05,FT005,148.35,base
2020-01-06,FT003,209.76,base
2020-01-06,FT001,790.15,base
2020-01-06,FT002,588.56,base
2020-01-06,FT005,142.44,base
2020-01-06,FT004,239.89,base
2020-01-07,FT001,807.22,base
2020-01-07,FT002,590.0,base
2020-01-07,FT003,202.08,base
2020-01-07,FT004,231.92,base
2020-01-07,FT005,127.11,base
2020-01-08,FT004,228.35,base
2020-01-08,FT003,204.25,base
2020-01-08,FT005,138.62,base
2020-01-08,FT001,782.0799999999999,base
2020-01-08,FT002,591.69,base
2020-01-09,FT003,207.47,base
2020-01-09,FT005,148.35,base
2020-01-09,FT004,231.55,base
2020-01-09,FT002,617.16,base
2020-01-09,FT001,818.74,base
2020-01-10,FT001,754.23,base
2020-01-10,FT002,567.61,base
2020-01-10,FT003,184.29,base
2020-01-10,FT004,207.1,base
2020-01-10,FT005,134.28,base
2020-01-11,FT005,136.37,base
2020-01-11,FT004,224.31,base
2020-01-11,FT001,725.97,base
2020-01-11,FT002,583.88,base
2020-01-11,FT003,184.35,base
2020-01-12,FT005,143.44,base
2020-01-12,FT004,237.59,base
2020-01-12,FT001,785.63,base
2020-01-12,FT002,599.42,base
2020-01-12,FT003,212.9,base
2020-01-13,FT004,241.91,base
2020-01-13,FT003,199.58,base
2020-01-13,FT005,141.62,base
2020-01-13,FT001,832.41,base
2020-01-13,FT002,594.48,base
2020-01-14,FT005,137.02,base
2020-01-14,FT004,249.03000000000003,base
2020-01-14,FT001,830.47,base
2020-01-14,FT002,613.36,base
2020-01-14,FT003,207.14,base
2020-01-15,FT001,825.42,base
2020-01-15,FT002,600.74,base
2020-01-15,FT003,205.96,base
2020-01-15,FT004,247.48,base
2020-01-15,FT005,143.05,base
2020-01-16,FT004,236.29,base
2020-01-16,FT005,143.77,base
2020-01-16,FT003,193.97,base
2020-01-16,FT001,769.54,base
2020-01-16,FT002,610.63,base
2020-01-17,FT004,223.79,base
2020-01-17,FT003,193.2,base
2020-01-17,FT005,127.77,base
2020-01-17,FT001,733.37,base
2020-01-17,FT002,579.72,base
2020-01-18,FT004,223.7,base
2020-01-18,FT003,197.3,base
2020-01-18,FT005,144.27,base
2020-01-18,FT001,724.13,base
2020-01-18,FT002,550.44,base
