kpi_name,period,value,delta,driver,status,scenario_id
total_demand_tons,2020-01,60747.17,0.0,SKU forecast,positive,base
total_recipe_hours,2020-01,1545.15,0.0,Recipe demand,neutral,base
slack_shortfall_hours,2020-01,632.42,0.0,Capacity balance,positive,base
available_mill_hours,2020-01,1788.5,0.0,Capacity,neutral,base
planned_recipe_hours,2020-01,1156.08,0.0,Schedule,neutral,base
seasonality_index,2020-01,1.0216,0.0,Calendar,neutral,base
forecast_confidence_pct,2020-01,87.4654,0.0,Model accuracy,positive,base
recipe_time_utilization_pct,2020-01,64.6396,0.0,Time constraint,positive,base
bulk_flour_required_tons,2020-01,60747.17,0.0,Flour demand,neutral,base
vision_2030_index,2020-01,85.5,0.0,Sustainability,positive,base
waste_rate_pct,2020-01,2.0267,0.0,Recipe mix,positive,base
avg_cost_per_ton,2020-01,906.7121,0.0,Wheat price,neutral,base
capacity_violations_count,2020-01,0.0,0.0,Overload,positive,base
wheat_cost_index,2020-01,890.6192,0.0,Raw material,neutral,base
avg_changeovers,2020-01,116.0,0.0,Recipe switches,neutral,base
total_sku_forecast_units,2020-01,3654165.0,0.0,Forecast,neutral,base
waste_impact_pct,2020-01,2.0267,0.0,Waste,positive,base
total_wheat_requirement_tons,2020-01,60747.21,0.0,Procurement,neutral,base
water_per_ton,2020-01,0.7781,0.0,Conservation,neutral,base
energy_per_ton,2020-01,69.195,0.0,Efficiency,neutral,base
waste_rate_vs_target,2020-01,-0.47,0.0,Gap to target,positive,base
yield_variability_index,2020-01,0.096,0.0,Quality,neutral,base
high_risk_supply_pct,2020-01,40.3,0.0,Geopolitics,negative,base
import_dependency_pct,2020-01,100.0,0.0,Supply chain,negative,base
vision_2030_compliance,2020-01,85.5,0.0,Composite,positive,base
downtime_risk_score,2020-01,32.3,0.0,Risk model,positive,base
avg_run_length_days,2020-01,0.2,0.0,Continuity,neutral,base
recipe_switch_count,2020-01,199.0,0.0,Scheduling,neutral,base
overload_hours,2020-01,0.0,0.0,Capacity,positive,base
mill_utilization_pct,2020-01,64.6396,0.0,Utilization,positive,base
avg_wheat_cost_sar,2020-01,906.7121,0.0,Market,neutral,base
wheat_cost_index,2020-02,890.6059,0.0,Raw material,neutral,base
recipe_time_utilization_pct,2020-02,65.4439,0.8043,Time constraint,positive,base
capacity_violations_count,2020-02,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-02,921.0948,14.3827,Wheat price,neutral,base
waste_rate_pct,2020-02,1.965,-0.0617,Recipe mix,positive,base
vision_2030_index,2020-02,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-02,3521239.0,0.0,Forecast,neutral,base
forecast_confidence_pct,2020-02,87.7414,0.0,Model accuracy,positive,base
total_recipe_hours,2020-02,1481.9,0.0,Recipe demand,neutral,base
seasonality_index,2020-02,1.0562,0.0,Calendar,neutral,base
planned_recipe_hours,2020-02,1120.4,0.0,Schedule,neutral,base
available_mill_hours,2020-02,1712.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-02,591.6,0.0,Capacity balance,positive,base
total_demand_tons,2020-02,58278.77,-4.0634,SKU forecast,negative,base
avg_changeovers,2020-02,107.0,0.0,Recipe switches,neutral,base
yield_variability_index,2020-02,0.08,0.0,Quality,neutral,base
waste_impact_pct,2020-02,1.965,0.0,Waste,positive,base
bulk_flour_required_tons,2020-02,58278.77,0.0,Flour demand,neutral,base
overload_hours,2020-02,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-02,186.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-02,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-02,32.7,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-02,58278.72,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-02,921.0948,0.0,Market,neutral,base
mill_utilization_pct,2020-02,65.4439,0.0,Utilization,positive,base
high_risk_supply_pct,2020-02,40.2,0.0,Geopolitics,negative,base
waste_rate_vs_target,2020-02,-0.54,0.0,Gap to target,positive,base
energy_per_ton,2020-02,70.69,0.0,Efficiency,neutral,base
water_per_ton,2020-02,0.7961,0.0,Conservation,neutral,base
vision_2030_compliance,2020-02,85.5,0.0,Composite,positive,base
import_dependency_pct,2020-02,100.0,0.0,Supply chain,negative,base
recipe_time_utilization_pct,2020-03,65.1225,-0.3214,Time constraint,positive,base
capacity_violations_count,2020-03,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-03,930.3551,9.2602,Wheat price,neutral,base
waste_rate_pct,2020-03,2.2687,0.3037,Recipe mix,positive,base
vision_2030_index,2020-03,85.5,0.0,Sustainability,positive,base
total_demand_tons,2020-03,64071.89,9.9404,SKU forecast,positive,base
forecast_confidence_pct,2020-03,87.1912,0.0,Model accuracy,positive,base
total_recipe_hours,2020-03,1629.81,0.0,Recipe demand,neutral,base
slack_shortfall_hours,2020-03,631.98,0.0,Capacity balance,positive,base
seasonality_index,2020-03,1.0768,0.0,Calendar,neutral,base
planned_recipe_hours,2020-03,1180.02,0.0,Schedule,neutral,base
available_mill_hours,2020-03,1812.0,0.0,Capacity,neutral,base
bulk_flour_required_tons,2020-03,64071.89,0.0,Flour demand,neutral,base
avg_changeovers,2020-03,112.0,0.0,Recipe switches,neutral,base
total_wheat_requirement_tons,2020-03,64071.88,0.0,Procurement,neutral,base
total_sku_forecast_units,2020-03,3879254.0,0.0,Forecast,neutral,base
import_dependency_pct,2020-03,100.0,0.0,Supply chain,negative,base
