mill_id,date,recipe_id,planned_hours,actual_hours,status,changeover_hours,tons_produced
M1,2020-01-01,R2,15.51,15.4,completed,0.0,856.09
M1,2020-01-01,R1,4.99,4.8,completed,1.5,235.08
M2,2020-01-01,R3,8.65,8.67,completed,0.0,325.28
M2,2020-01-01,R4,7.01,6.8,completed,1.5,296.33
M2,2020-01-01,R1,3.34,3.4,completed,1.5,130.72
M3,2020-01-01,R1,2.65,2.7,completed,0.0,53.7
M3,2020-01-01,R5,1.45,1.48,completed,2.0,27.5
M3,2020-01-02,R1,2.63,2.71,completed,0.0,53.36
M2,2020-01-02,R1,3.33,3.39,completed,1.5,130.08
M2,2020-01-02,R4,6.56,6.59,completed,1.5,277.56
M3,2020-01-02,R5,1.47,1.48,completed,2.0,27.81
M1,2020-01-02,R1,5.24,5.26,completed,1.5,247.01
M1,2020-01-02,R2,15.26,15.31,completed,0.0,842.11
M2,2020-01-02,R3,9.11,9.22,completed,0.0,342.6
M3,2020-01-03,R5,0.37,0.36,completed,0.0,7.01
M2,2020-01-03,R4,1.67,1.67,completed,1.5,70.71
M2,2020-01-03,R3,2.2,2.18,completed,2.5,82.84
M2,2020-01-03,R1,2.93,2.84,completed,1.5,114.59
M2,2020-01-03,R2,3.92,3.8,completed,0.0,172.64
M2,2020-01-04,R5,0.45,0.44,completed,2.0,16.81
M2,2020-01-04,R4,1.15,1.19,completed,0.0,48.57
M1,2020-01-04,R4,0.64,0.66,completed,1.5,32.4
M1,2020-01-04,R2,4.42,4.4,completed,0.0,243.93
M1,2020-01-04,R1,3.34,3.24,completed,1.5,157.11
M1,2020-01-04,R3,2.6,2.55,completed,2.5,115.49
M1,2020-01-05,R2,15.24,15.05,completed,0.0,841.36
M2,2020-01-05,R3,9.02,8.82,completed,0.0,339.33
M1,2020-01-05,R1,5.26,5.2,completed,1.5,247.65
M2,2020-01-05,R1,3.52,3.42,completed,1.5,137.7
M2,2020-01-05,R4,6.45,6.3,completed,1.5,272.98
M3,2020-01-05,R5,1.45,1.46,completed,2.0,27.32
M3,2020-01-05,R1,2.65,2.74,completed,0.0,53.89
M2,2020-01-06,R5,0.86,0.84,completed,2.0,31.81
M2,2020-01-06,R4,3.46,3.52,completed,0.0,146.51
M2,2020-01-06,R3,1.28,1.26,completed,2.5,48.18
M1,2020-01-06,R1,5.98,5.87,completed,1.5,281.81
M1,2020-01-06,R2,8.24,8.1,completed,0.0,454.87
M1,2020-01-06,R3,3.78,3.8,completed,2.5,167.68
M3,2020-01-07,R1,2.57,2.55,completed,0.0,52.1
M1,2020-01-07,R2,15.38,15.13,completed,0.0,849.18
M1,2020-01-07,R1,5.12,4.95,completed,1.5,240.98
M2,2020-01-07,R3,8.84,8.76,completed,0.0,332.44
M2,2020-01-07,R4,6.46,6.48,completed,1.5,273.39
M2,2020-01-07,R1,3.7,3.74,completed,1.5,144.49
M3,2020-01-07,R5,1.53,1.59,completed,2.0,28.98
M3,2020-01-08,R1,2.54,2.53,completed,0.0,51.56
M2,2020-01-08,R4,6.52,6.69,completed,1.5,275.94
M3,2020-01-08,R5,1.56,1.5,completed,2.0,29.49
M1,2020-01-08,R1,5.17,5.33,completed,1.5,243.69
M1,2020-01-08,R2,15.33,15.48,completed,0.0,846.0
M2,2020-01-08,R3,9.1,9.4,completed,0.0,341.98
M2,2020-01-08,R1,3.38,3.32,completed,1.5,132.21
M2,2020-01-09,R1,3.41,3.45,completed,1.5,133.18
M3,2020-01-09,R5,1.52,1.52,completed,2.0,28.8
M3,2020-01-09,R1,2.58,2.68,completed,0.0,52.3
M2,2020-01-09,R3,9.05,8.77,completed,0.0,340.37
M1,2020-01-09,R1,5.18,5.1,completed,1.5,244.18
M1,2020-01-09,R2,15.32,15.26,completed,0.0,845.43
M2,2020-01-09,R4,6.54,6.72,completed,1.5,276.71
M1,2020-01-10,R2,9.71,9.58,completed,0.0,536.18
M1,2020-01-10,R1,5.29,5.19,completed,1.5,249.0
M2,2020-01-10,R3,5.64,5.61,completed,0.0,212.12
M2,2020-01-10,R4,4.17,4.11,completed,1.5,176.49
M3,2020-01-10,R5,0.94,0.91,completed,0.0,17.74
M2,2020-01-10,R1,1.85,1.92,completed,1.5,72.24
M1,2020-01-11,R2,9.63,9.26,completed,0.0,531.35
M1,2020-01-11,R1,5.37,5.21,completed,1.5,253.12
M2,2020-01-11,R3,5.93,6.12,completed,0.0,223.07
M2,2020-01-11,R4,4.27,4.34,completed,1.5,180.71
M2,2020-01-11,R1,1.46,1.49,completed,1.5,57.12
M3,2020-01-11,R5,0.93,0.92,completed,0.0,17.66
M3,2020-01-12,R1,2.5,2.46,completed,0.0,50.8
M3,2020-01-12,R5,1.6,1.54,completed,2.0,30.19
M2,2020-01-12,R1,3.23,3.26,completed,1.5,126.3
M2,2020-01-12,R4,6.49,6.61,completed,1.5,274.63
M2,2020-01-12,R3,9.28,9.15,completed,0.0,348.83
M1,2020-01-12,R1,5.22,5.3,completed,1.5,245.71
M1,2020-01-12,R2,15.28,15.43,completed,0.0,843.64
M3,2020-01-13,R5,1.47,1.43,completed,2.0,27.86
M3,2020-01-13,R1,2.63,2.61,completed,0.0,53.31
M2,2020-01-13,R1,3.47,3.4,completed,1.5,135.73
M1,2020-01-13,R1,5.32,5.37,completed,1.5,250.62
M2,2020-01-13,R3,9.19,9.26,completed,0.0,345.59
M2,2020-01-13,R4,6.34,6.34,completed,1.5,268.07
M1,2020-01-13,R2,15.18,14.86,completed,0.0,837.88
M3,2020-01-14,R1,2.59,2.55,completed,0.0,52.57
M2,2020-01-14,R1,3.41,3.5,completed,1.5,133.41
M2,2020-01-14,R4,6.45,6.31,completed,1.5,273.04
M3,2020-01-14,R5,1.51,1.52,completed,2.0,28.54
M1,2020-01-14,R1,5.24,5.4,completed,1.5,246.99
M1,2020-01-14,R2,15.26,15.45,completed,0.0,842.14
M2,2020-01-14,R3,9.13,9.11,completed,0.0,343.4
M1,2020-01-15,R2,15.18,14.66,completed,0.0,837.71
M1,2020-01-15,R1,5.32,5.42,completed,1.5,250.76
M2,2020-01-15,R3,9.3,9.27,completed,0.0,349.65
M2,2020-01-15,R4,6.36,6.32,completed,1.5,269.16
M2,2020-01-15,R1,3.34,3.45,completed,1.5,130.5
M3,2020-01-15,R5,1.51,1.45,completed,2.0,28.57
M3,2020-01-15,R1,2.59,2.59,completed,0.0,52.55
M1,2020-01-16,R2,15.19,15.75,completed,0.0,838.67
M1,2020-01-16,R1,5.31,5.1,completed,1.5,249.95
M2,2020-01-16,R3,9.37,9.4,completed,0.0,352.39
M2,2020-01-16,R4,6.7,6.77,completed,1.5,283.34
M2,2020-01-16,R1,2.93,3.02,completed,1.5,114.54
M3,2020-01-16,R1,2.63,2.66,completed,0.0,53.31
M3,2020-01-16,R5,1.47,1.51,completed,2.0,27.86
M1,2020-01-17,R2,9.71,9.92,completed,0.0,536.06
M1,2020-01-17,R1,5.29,5.17,completed,1.5,249.1
M2,2020-01-17,R3,5.78,5.87,completed,0.0,217.19
M2,2020-01-17,R4,4.24,4.28,completed,1.5,179.23
M3,2020-01-17,R5,0.98,0.95,completed,0.0,18.49
M2,2020-01-17,R1,1.61,1.58,completed,1.5,62.89
M1,2020-01-18,R2,9.58,9.77,completed,0.0,528.72
M1,2020-01-18,R1,5.42,5.63,completed,1.5,255.36
M2,2020-01-18,R3,6.09,6.21,completed,0.0,229.15
M2,2020-01-18,R4,4.06,4.14,completed,1.5,171.54
M2,2020-01-18,R1,1.44,1.4,completed,1.5,56.43
M3,2020-01-18,R5,1.01,0.99,completed,0.0,19.03
M3,2020-01-19,R1,2.6,2.56,completed,0.0,52.72
M2,2020-01-19,R4,6.43,6.25,completed,1.5,272.04
M1,2020-01-19,R1,5.3,5.1,completed,1.5,249.5
M2,2020-01-19,R3,9.25,9.37,completed,0.0,347.72
M3,2020-01-19,R5,1.5,1.46,completed,2.0,28.41
M2,2020-01-19,R1,3.32,3.3,completed,1.5,129.85
M1,2020-01-19,R2,15.2,15.31,completed,0.0,839.19
M1,2020-01-20,R1,5.39,5.33,completed,1.5,253.83
M1,2020-01-20,R2,15.11,15.21,completed,0.0,834.12
M2,2020-01-20,R3,9.52,9.18,completed,0.0,358.12
M3,2020-01-20,R1,2.55,2.48,completed,0.0,51.8
M3,2020-01-20,R5,1.55,1.56,completed,2.0,29.26
M2,2020-01-20,R1,3.17,3.2,completed,1.5,124.04
M2,2020-01-20,R4,6.3,6.28,completed,1.5,266.63
M3,2020-01-21,R1,2.51,2.57,completed,0.0,50.87
M2,2020-01-21,R1,3.49,3.45,completed,1.5,136.36
M2,2020-01-21,R4,6.21,6.19,completed,1.5,262.67
M3,2020-01-21,R5,1.59,1.65,completed,2.0,30.13
M1,2020-01-21,R1,5.29,5.19,completed,1.5,249.22
M1,2020-01-21,R2,15.21,14.97,completed,0.0,839.52
M2,2020-01-21,R3,9.3,9.52,completed,0.0,349.79
M3,2020-01-22,R5,1.53,1.55,completed,2.0,28.95
M3,2020-01-22,R1,2.57,2.61,completed,0.0,52.14
M2,2020-01-22,R1,3.26,3.28,completed,1.5,127.35
M1,2020-01-22,R1,5.35,5.16,completed,1.5,252.04
M2,2020-01-22,R3,9.4,9.44,completed,0.0,353.61
M1,2020-01-22,R2,15.15,14.92,completed,0.0,836.21
M2,2020-01-22,R4,6.34,6.45,completed,1.5,268.12
M1,2020-01-23,R1,5.27,5.42,completed,1.5,248.07
M2,2020-01-23,R4,6.45,6.42,completed,1.5,272.79
M2,2020-01-23,R3,9.13,8.86,completed,0.0,343.1
M3,2020-01-23,R5,1.48,1.53,completed,2.0,27.98
M2,2020-01-23,R1,3.43,3.41,completed,1.5,133.96
M3,2020-01-23,R1,2.62,2.61,completed,0.0,53.18
M1,2020-01-23,R2,15.23,15.79,completed,0.0,840.87
M1,2020-01-24,R2,9.69,9.56,completed,0.0,535.0
M1,2020-01-24,R1,5.31,5.36,completed,1.5,250.01
M2,2020-01-24,R3,5.79,5.98,completed,0.0,217.82
M2,2020-01-24,R4,4.08,3.94,completed,1.5,172.76
M2,2020-01-24,R1,1.72,1.77,completed,1.5,67.22
M3,2020-01-24,R5,1.0,1.02,completed,0.0,18.97
M3,2020-01-25,R5,0.94,0.97,completed,0.0,17.72
M2,2020-01-25,R3,5.71,5.62,completed,0.0,214.66
M2,2020-01-25,R1,1.75,1.77,completed,1.5,68.34
M2,2020-01-25,R4,4.21,4.11,completed,1.5,177.9
