date,recipe_id,required_tons,required_hours,scenario_id
2020-01-01,R1,461.78,12.15,base
2020-01-01,R2,756.39,17.59,base
2020-01-01,R3,347.11,9.92,base
2020-01-01,R4,315.94,7.9,base
2020-01-01,R5,56.82,1.62,base
2020-01-02,R1,473.72,12.47,base
2020-01-02,R2,748.26,17.4,base
2020-01-02,R3,367.66,10.5,base
2020-01-02,R4,297.6,7.44,base
2020-01-02,R5,57.79,1.65,base
2020-01-03,R2,708.86,16.48,base
2020-01-03,R4,279.27,6.98,base
2020-01-03,R1,456.59,12.02,base
2020-01-03,R5,53.66,1.53,base
2020-01-03,R3,327.45000000000005,9.35,base
2020-01-04,R1,454.42,11.96,base
2020-01-04,R2,698.11,16.24,base
2020-01-04,R3,338.05,9.65,base
2020-01-04,R4,261.82,6.55,base
2020-01-04,R5,57.15,1.63,base
2020-01-05,R1,496.48,13.07,base
2020-01-05,R2,767.45,17.85,base
2020-01-05,R3,373.82,10.68,base
2020-01-05,R4,300.47,7.51,base
2020-01-05,R5,58.28,1.67,base
2020-01-06,R3,382.33,10.92,base
2020-01-06,R1,474.09,12.48,base
2020-01-06,R2,757.17,17.6,base
2020-01-06,R5,62.93,1.8,base
2020-01-06,R4,294.28,7.36,base
2020-01-07,R1,484.33,12.75,base
2020-01-07,R2,759.35,17.66,base
2020-01-07,R3,359.03,10.26,base
2020-01-07,R4,295.0,7.38,base
2020-01-07,R5,60.62,1.73,base
2020-01-08,R4,295.85,7.4,base
2020-01-08,R3,366.97,10.48,base
2020-01-08,R5,61.28,1.75,base
2020-01-08,R1,469.25,12.35,base
2020-01-08,R2,751.66,17.490000000000002,base
2020-01-09,R3,379.9,10.86,base
2020-01-09,R5,62.24,1.78,base
2020-01-09,R4,308.58,7.71,base
2020-01-09,R2,781.31,18.18,base
2020-01-09,R1,491.24,12.93,base
2020-01-10,R1,452.54,11.91,base
2020-01-10,R2,714.49,16.619999999999997,base
2020-01-10,R3,341.38,9.76,base
2020-01-10,R4,283.8,7.1,base
2020-01-10,R5,55.29,1.58,base
2020-01-11,R5,55.3,1.58,base
2020-01-11,R4,291.94,7.3,base
2020-01-11,R1,435.58,11.46,base
2020-01-11,R2,711.37,16.54,base
2020-01-11,R3,360.68,10.31,base
2020-01-12,R5,63.87,1.82,base
2020-01-12,R4,299.71,7.49,base
2020-01-12,R1,471.38,12.4,base
2020-01-12,R2,762.99,17.75,base
2020-01-12,R3,381.03,10.89,base
2020-01-13,R4,297.24,7.43,base
2020-01-13,R3,383.53,10.96,base
2020-01-13,R5,59.87,1.71,base
2020-01-13,R1,499.45,13.14,base
2020-01-13,R2,769.91,17.9,base
2020-01-14,R5,62.14,1.78,base
2020-01-14,R4,306.68,7.67,base
2020-01-14,R1,498.28,13.11,base
2020-01-14,R2,783.87,18.23,base
2020-01-14,R3,386.05,11.03,base
2020-01-15,R1,495.25,13.03,base
2020-01-15,R2,774.71,18.02,base
2020-01-15,R3,390.53,11.16,base
2020-01-15,R4,300.37,7.51,base
2020-01-15,R5,61.79,1.77,base
2020-01-16,R4,305.32,7.63,base
2020-01-16,R5,58.19,1.66,base
2020-01-16,R3,380.06,10.86,base
2020-01-16,R1,461.72,12.15,base
2020-01-16,R2,748.92,17.42,base
2020-01-17,R4,289.86,7.25,base
2020-01-17,R3,351.56,10.04,base
2020-01-17,R5,57.96,1.66,base
2020-01-17,R1,440.02,11.58,base
2020-01-17,R2,718.45,16.71,base
2020-01-18,R4,275.22,6.88,base
2020-01-18,R3,367.97,10.51,base
2020-01-18,R5,59.19,1.69,base
2020-01-18,R1,434.48,11.43,base
2020-01-18,R2,702.98,16.35,base
2020-01-19,R1,491.08,12.92,base
2020-01-19,R2,771.9399999999999,17.95,base
2020-01-19,R3,386.3,11.03,base
2020-01-19,R4,301.96,7.55,base
2020-01-19,R5,61.12,1.75,base
2020-01-20,R5,63.31,1.81,base
2020-01-20,R4,297.63,7.44,base
2020-01-20,R3,400.1,11.43,base
2020-01-20,R1,489.36,12.88,base
2020-01-20,R2,771.6,17.95,base
2020-01-21,R5,64.92,1.85,base
2020-01-21,R4,292.01,7.3,base
2020-01-21,R1,494.89,13.02,base
2020-01-21,R2,773.4300000000001,17.98,base
2020-01-21,R3,389.2,11.12,base
2020-01-22,R1,490.07,12.9,base
2020-01-22,R2,770.26,17.91,base
2020-01-22,R3,393.39,11.24,base
2020-01-22,R4,298.02,7.45,base
2020-01-22,R5,62.36,1.78,base
2020-01-23,R5,60.68,1.73,base
2020-01-23,R3,384.21,10.98,base
2020-01-23,R4,305.2,7.63,base
2020-01-23,R1,499.28,13.14,base
2020-01-23,R2,779.64,18.13,base
2020-01-24,R5,59.87,1.71,base
2020-01-24,R4,281.32,7.03,base
2020-01-24,R1,451.4,11.88,base
2020-01-24,R2,721.96,16.79,base
2020-01-24,R3,355.01,10.14,base
2020-01-25,R4,288.2,7.2,base
2020-01-25,R2,718.48,16.71,base
2020-01-25,R3,348.05,9.95,base
2020-01-25,R5,55.64,1.59,base
2020-01-25,R1,450.69,11.86,base
2020-01-26,R5,65.43,1.87,base
2020-01-26,R4,319.78,7.99,base
2020-01-26,R3,390.72,11.17,base
2020-01-26,R2,809.75,18.83,base
2020-01-26,R1,505.94,13.31,base
2020-01-27,R4,314.71,7.87,base
2020-01-27,R1,475.19,12.5,base
2020-01-27,R2,785.26,18.27,base
