sku_id,date,forecast_tons,forecast_units,confidence_pct,seasonality_index,scenario_id
SKU001,2020-01-01,272.38,6053,0.9,1.0,base
SKU002,2020-01-01,114.61,11461,0.87,1.0,base
SKU003,2020-01-01,26.12,26120,0.83,1.0,base
SKU004,2020-01-01,220.28,4895,0.8,1.0,base
SKU005,2020-01-01,93.8,9380,0.85,1.0,base
SKU006,2020-01-01,111.01,2467,0.81,1.0,base
SKU007,2020-01-01,78.4,7840,0.87,1.0,base
SKU008,2020-01-01,144.63,3214,0.92,1.0,base
SKU009,2020-01-01,77.29,7729,0.84,1.0,base
SKU010,2020-01-01,125.19,2782,0.93,1.0,base
SKU011,2020-01-01,232.77,5173,0.91,1.0,base
SKU012,2020-01-01,123.76,12376,0.82,1.0,base
SKU013,2020-01-01,225.91,5020,0.9,1.0,base
SKU014,2020-01-01,91.9,9190,0.82,1.0,base
SKU001,2020-01-02,282.51,6278,0.9,1.0,base
SKU002,2020-01-02,117.24,11724,0.82,1.0,base
SKU003,2020-01-02,29.18,29180,0.86,1.0,base
SKU004,2020-01-02,220.57,4902,0.88,1.0,base
SKU005,2020-01-02,91.57,9157,0.81,1.0,base
SKU006,2020-01-02,116.51,2589,0.82,1.0,base
SKU007,2020-01-02,76.13,7613,0.85,1.0,base
SKU008,2020-01-02,149.21,3316,0.87,1.0,base
SKU009,2020-01-02,78.09,7809,0.93,1.0,base
SKU010,2020-01-02,140.36,3119,0.83,1.0,base
SKU011,2020-01-02,237.92,5287,0.85,1.0,base
SKU012,2020-01-02,122.68,12268,0.87,1.0,base
SKU013,2020-01-02,187.88,4175,0.84,1.0,base
SKU014,2020-01-02,95.18,9518,0.89,1.0,base
SKU001,2020-01-03,294.64,6548,0.84,1.0,base
SKU002,2020-01-03,117.49,11749,0.92,1.0,base
SKU003,2020-01-03,28.02,28020,0.88,1.0,base
SKU004,2020-01-03,202.58,4502,0.81,1.0,base
SKU005,2020-01-03,78.96,7896,0.89,1.0,base
SKU006,2020-01-03,102.09,2269,0.89,1.0,base
SKU007,2020-01-03,76.77,7677,0.85,1.0,base
SKU008,2020-01-03,134.86,2997,0.8,1.0,base
SKU009,2020-01-03,68.94,6894,0.83,1.0,base
SKU010,2020-01-03,123.65,2748,0.86,1.0,base
SKU011,2020-01-03,209.21,4649,0.83,1.0,base
SKU012,2020-01-03,111.62,11162,0.89,1.0,base
SKU013,2020-01-03,190.16,4226,0.91,1.0,base
SKU014,2020-01-03,86.84,8684,0.93,1.0,base
SKU001,2020-01-04,270.66,6015,0.9,1.01,base
SKU002,2020-01-04,115.22,11522,0.9,1.01,base
SKU003,2020-01-04,27.47,27470,0.89,1.01,base
SKU004,2020-01-04,188.25,4183,0.95,1.01,base
SKU005,2020-01-04,76.99,7699,0.84,1.01,base
SKU006,2020-01-04,117.14,2603,0.84,1.01,base
SKU007,2020-01-04,73.36,7336,0.82,1.01,base
SKU008,2020-01-04,135.94,3021,0.87,1.01,base
SKU009,2020-01-04,78.39,7839,0.81,1.01,base
SKU010,2020-01-04,123.72,2749,0.84,1.01,base
SKU011,2020-01-04,231.33,5141,0.87,1.01,base
SKU012,2020-01-04,112.68,11268,0.94,1.01,base
SKU013,2020-01-04,175.45,3899,0.94,1.01,base
SKU014,2020-01-04,82.96,8296,0.91,1.01,base
SKU001,2020-01-05,295.72,6572,0.86,1.01,base
SKU002,2020-01-05,125.67,12567,0.93,1.01,base
SKU003,2020-01-05,32.47,32470,0.93,1.01,base
SKU004,2020-01-05,215.08,4780,0.94,1.01,base
SKU005,2020-01-05,105.93,10593,0.9,1.01,base
SKU006,2020-01-05,115.3,2562,0.83,1.01,base
SKU007,2020-01-05,78.97,7897,0.81,1.01,base
SKU008,2020-01-05,150.61,3347,0.94,1.01,base
SKU009,2020-01-05,74.86,7486,0.81,1.01,base
SKU010,2020-01-05,148.35,3297,0.84,1.01,base
SKU011,2020-01-05,252.64,5614,0.87,1.01,base
SKU012,2020-01-05,120.97,12097,0.8,1.01,base
SKU013,2020-01-05,196.05,4357,0.94,1.01,base
SKU014,2020-01-05,83.87,8387,0.84,1.01,base
SKU001,2020-01-06,271.26,6028,0.8,1.01,base
SKU002,2020-01-06,125.53,12553,0.95,1.01,base
SKU003,2020-01-06,29.94,29940,0.85,1.01,base
SKU004,2020-01-06,207.28,4606,0.93,1.01,base
SKU005,2020-01-06,93.05,9305,0.87,1.01,base
SKU006,2020-01-06,128.04,2845,0.9,1.01,base
SKU007,2020-01-06,81.72,8172,0.84,1.01,base
SKU008,2020-01-06,153.67,3415,0.88,1.01,base
SKU009,2020-01-06,86.22,8622,0.84,1.01,base
SKU010,2020-01-06,142.44,3165,0.94,1.01,base
SKU011,2020-01-06,238.32,5296,0.81,1.01,base
SKU012,2020-01-06,125.1,12510,0.84,1.01,base
SKU013,2020-01-06,199.13,4425,0.93,1.01,base
SKU014,2020-01-06,89.1,8910,0.87,1.01,base
SKU001,2020-01-07,300.82,6685,0.89,1.01,base
SKU002,2020-01-07,119.43,11943,0.9,1.01,base
SKU003,2020-01-07,26.28,26280,0.81,1.01,base
SKU004,2020-01-07,215.77,4795,0.8,1.01,base
SKU005,2020-01-07,89.11,8911,0.94,1.01,base
SKU006,2020-01-07,119.45,2654,0.84,1.01,base
SKU007,2020-01-07,82.63,8263,0.86,1.01,base
SKU008,2020-01-07,150.25,3339,0.9,1.01,base
SKU009,2020-01-07,81.67,8167,0.84,1.01,base
SKU010,2020-01-07,127.11,2825,0.91,1.01,base
SKU011,2020-01-07,230.98,5133,0.87,1.01,base
SKU012,2020-01-07,129.71,12971,0.93,1.01,base
SKU013,2020-01-07,201.82,4485,0.84,1.01,base
SKU014,2020-01-07,83.3,8330,0.83,1.01,base
SKU001,2020-01-08,268.02,5956,0.92,1.01,base
SKU002,2020-01-08,115.35,11535,0.85,1.01,base
SKU003,2020-01-08,30.5,30500,0.86,1.01,base
SKU004,2020-01-08,207.81,4618,0.92,1.01,base
