mill_id,recipe_id,period,waste_pct,energy_per_ton,water_per_ton
M1,R1,2020-01,1.74,63.38,0.723
M1,R4,2020-01,1.81,65.39,0.728
M2,R1,2020-01,2.33,65.23,0.717
M1,R2,2020-01,1.76,65.79,0.686
M2,R2,2020-01,1.34,67.29,0.778
M2,R3,2020-01,3.26,70.19,0.751
M2,R4,2020-01,2.18,72.59,0.759
M2,R5,2020-01,1.16,69.7,0.852
M3,R1,2020-01,1.96,76.69,0.843
M3,R4,2020-01,1.85,73.14,0.864
M3,R5,2020-01,1.66,76.73,0.88
M1,R3,2020-01,3.27,64.22,0.756
M1,R1,2020-02,1.87,63.14,0.722
M3,R1,2020-02,1.75,76.28,0.862
M3,R5,2020-02,1.61,78.67,0.836
M2,R4,2020-02,1.6,69.52,0.779
M2,R3,2020-02,2.67,69.24,0.781
M1,R2,2020-02,2.27,63.65,0.707
M2,R1,2020-02,1.8,71.01,0.786
M3,R4,2020-02,2.15,74.01,0.896
M1,R2,2020-03,1.97,60.26,0.655
M3,R4,2020-03,2.58,75.98,0.856
M3,R1,2020-03,1.84,75.93,0.9
M1,R1,2020-03,2.17,64.31,0.754
M3,R5,2020-03,1.67,74.06,0.824
M2,R4,2020-03,2.32,67.91,0.778
M2,R3,2020-03,3.07,67.09,0.778
M2,R1,2020-03,2.53,68.19,0.734
M3,R4,2020-04,2.52,76.32,0.865
M1,R1,2020-04,1.17,62.45,0.731
M1,R3,2020-04,2.94,64.22,0.692
M3,R5,2020-04,1.73,76.96,0.86
M1,R2,2020-04,1.91,64.33,0.758
M3,R1,2020-04,1.85,76.91,0.837
M2,R3,2020-04,2.69,65.41,0.74
M2,R4,2020-04,1.94,69.75,0.783
M2,R5,2020-04,1.5,69.49,0.799
M2,R1,2020-04,1.7,66.64,0.783
M3,R1,2020-05,2.23,78.46,0.846
M3,R4,2020-05,2.37,75.25,0.846
M1,R1,2020-05,2.03,65.96,0.756
M2,R4,2020-05,2.08,67.95,0.78
M2,R3,2020-05,3.32,70.1,0.807
M2,R1,2020-05,2.02,69.16,0.831
M3,R5,2020-05,1.47,78.34,0.863
M1,R2,2020-05,2.16,68.1,0.78
M1,R4,2020-05,2.34,68.0,0.749
M1,R3,2020-05,2.98,62.4,0.765
M1,R3,2020-06,2.58,66.4,0.685
M3,R1,2020-06,2.16,78.02,0.897
M2,R5,2020-06,1.64,67.55,0.754
M3,R5,2020-06,1.43,74.54,0.852
M2,R1,2020-06,1.85,65.9,0.796
M1,R4,2020-06,2.53,60.88,0.777
M2,R3,2020-06,2.51,70.71,0.852
M1,R2,2020-06,2.25,67.07,0.711
M1,R1,2020-06,2.52,65.43,0.756
M2,R4,2020-06,2.72,66.99,0.793
M2,R4,2020-07,2.36,67.42,0.807
M2,R2,2020-07,1.62,67.78,0.749
M1,R2,2020-07,1.8,61.77,0.75
M3,R1,2020-07,2.07,76.91,0.857
M1,R1,2020-07,1.81,68.82,0.716
M3,R5,2020-07,1.46,76.75,0.819
M2,R3,2020-07,2.75,70.75,0.833
M2,R1,2020-07,2.28,67.38,0.792
M1,R1,2020-08,2.21,65.92,0.706
M3,R5,2020-08,1.08,75.77,0.908
M1,R3,2020-08,2.85,64.81,0.718
