date,mill_id,recipe_id,start_hour,end_hour,duration_hours,changeover_hours,tons_produced,recipe_cost_index
2020-01-01,M1,R2,0.0,8.89,8.89,0.0,116.31,1.1
2020-01-01,M1,R1,9.39,15.49,6.1,0.5,62.45,1.05
2020-01-01,M1,R4,15.99,19.57,3.58,0.5,40.21,1.02
2020-01-01,M2,R2,0.0,10.63,10.63,0.0,116.31,1.1
2020-01-01,M2,R1,11.13,17.52,6.39,0.5,62.45,1.05
2020-01-01,M2,R4,18.02,20.0,1.98,0.5,22.25,1.02
2020-01-01,M3,R2,0.0,8.86,8.86,0.0,116.31,1.1
2020-01-01,M3,R1,9.36,15.94,6.58,0.5,62.45,1.05
2020-01-01,M3,R4,16.44,18.0,1.56,0.5,16.19,1.02
2020-01-02,M1,R2,0.0,9.14,9.14,0.0,119.56,1.1
2020-01-02,M1,R1,9.64,15.59,5.95,0.5,60.94,1.05
2020-01-02,M1,R4,16.09,19.75,3.66,0.5,41.04,1.02
2020-01-02,M2,R2,0.0,10.93,10.93,0.0,119.56,1.1
2020-01-02,M2,R1,11.43,17.66,6.23,0.5,60.94,1.05
2020-01-02,M2,R4,18.16,20.0,1.84,0.5,20.65,1.02
2020-01-02,M3,R2,0.0,9.11,9.11,0.0,119.56,1.1
2020-01-02,M3,R1,9.61,16.03,6.42,0.5,60.94,1.05
2020-01-02,M3,R4,16.53,18.0,1.47,0.5,15.27,1.02
2020-01-03,M1,R2,0.0,7.68,7.68,0.0,100.49,1.1
2020-01-03,M1,R1,8.18,13.46,5.27,0.5,53.99,1.05
2020-01-03,M1,R4,13.96,14.0,0.04,0.5,0.5,1.02
2020-01-03,M2,R2,0.0,9.19,9.19,0.0,100.49,1.1
2020-01-03,M2,R1,9.69,14.0,4.31,0.5,42.19,1.05
2020-01-03,M3,R2,0.0,7.65,7.65,0.0,100.49,1.1
2020-01-03,M3,R1,8.15,12.6,4.45,0.5,42.2,1.05
2020-01-04,M1,R2,0.0,8.14,8.14,0.0,106.51,1.1
2020-01-04,M1,R1,8.64,14.0,5.36,0.5,54.86,1.05
2020-01-04,M2,R2,0.0,9.74,9.74,0.0,106.51,1.1
2020-01-04,M2,R1,10.24,14.0,3.76,0.5,36.82,1.05
2020-01-04,M3,R2,0.0,8.11,8.11,0.0,106.51,1.1
2020-01-04,M3,R1,8.61,12.6,3.99,0.5,37.85,1.05
2020-01-05,M1,R2,0.0,8.85,8.85,0.0,115.75,1.1
2020-01-05,M1,R1,9.35,15.57,6.22,0.5,63.74,1.05
2020-01-05,M1,R4,16.07,19.75,3.68,0.5,41.3,1.02
2020-01-05,M3,R2,0.0,8.82,8.82,0.0,115.75,1.1
2020-01-05,M3,R1,9.32,16.03,6.72,0.5,63.74,1.05
2020-01-05,M3,R4,16.53,18.0,1.47,0.5,15.22,1.02
2020-01-06,M2,R2,0.0,10.53,10.53,0.0,115.19,1.1
2020-01-06,M2,R1,11.03,17.07,6.04,0.5,59.06,1.05
2020-01-06,M2,R4,17.57,20.0,2.43,0.5,27.29,1.02
2020-01-06,M3,R2,0.0,8.77,8.77,0.0,115.19,1.1
2020-01-06,M3,R1,9.27,15.5,6.22,0.5,59.06,1.05
