date,country,wheat_price_sar_per_ton,availability_tons
2020-01-01,United States,952.8,5549
2020-01-01,Australia,886.33,14234
2020-01-01,Canada,1012.4,7306
2020-01-01,Argentina,795.62,3222
2020-01-01,Germany,944.61,6441
2020-01-01,Romania,895.33,3715
2020-01-02,United States,897.98,10555
2020-01-02,Australia,890.82,6609
2020-01-02,Canada,973.57,7261
2020-01-02,Argentina,819.75,5697
2020-01-02,Germany,937.4,6111
2020-01-02,Romania,850.48,4114
2020-01-03,United States,953.3,7370
2020-01-03,Canada,980.95,8025
2020-01-03,Australia,893.66,11441
2020-01-03,Argentina,805.28,3821
2020-01-03,Romania,824.4,3029
2020-01-03,Germany,911.83,3378
2020-01-04,Canada,990.96,5937
2020-01-04,Germany,934.28,3072
2020-01-04,Argentina,844.63,3344
2020-01-04,Romania,873.34,3614
2020-01-04,Australia,886.7,13643
2020-01-04,United States,931.0,6711
2020-01-05,United States,922.18,5613
2020-01-05,Australia,903.36,8721
2020-01-05,Canada,1004.52,13747
2020-01-05,Argentina,806.68,5924
2020-01-05,Germany,933.51,6047
2020-01-05,Romania,856.59,5019
2020-01-06,Canada,997.37,12854
2020-01-06,Australia,901.3,17144
2020-01-06,United States,950.69,6618
2020-01-06,Romania,852.83,5751
2020-01-06,Germany,906.24,8335
2020-01-06,Argentina,801.53,2756
2020-01-07,United States,950.67,5949
2020-01-07,Australia,875.18,13944
2020-01-07,Canada,975.39,12532
2020-01-07,Argentina,811.45,4138
2020-01-07,Germany,897.44,7825
2020-01-07,Romania,855.75,3300
2020-01-08,Germany,948.95,3869
2020-01-08,Romania,876.12,2909
2020-01-08,Argentina,814.71,3385
2020-01-08,United States,940.04,5190
2020-01-08,Australia,849.7,7353
2020-01-08,Canada,1006.52,13017
2020-01-09,United States,943.91,7983
2020-01-09,Australia,886.4,8504
2020-01-09,Canada,995.0,9350
2020-01-09,Argentina,802.0,6132
2020-01-09,Romania,866.57,4238
2020-01-09,Germany,933.98,5030
2020-01-10,Germany,912.01,3480
2020-01-10,United States,938.97,7303
2020-01-10,Australia,883.88,10565
2020-01-10,Canada,982.96,5201
2020-01-10,Argentina,812.34,5499
2020-01-10,Romania,845.33,3004
2020-01-11,United States,956.79,8177
2020-01-11,Canada,992.59,6429
2020-01-11,Australia,882.62,15797
2020-01-11,Germany,921.94,3673
2020-01-11,Romania,856.15,2843
2020-01-11,Argentina,793.71,7476
2020-01-12,Germany,934.24,4077
2020-01-12,Romania,849.12,2649
2020-01-12,Argentina,809.09,6259
2020-01-12,United States,944.31,4191
2020-01-12,Australia,882.98,17395
2020-01-12,Canada,1003.87,14529
2020-01-13,Romania,868.98,6211
2020-01-13,Germany,920.3,8147
2020-01-13,Argentina,810.43,6690
2020-01-13,United States,997.92,7683
2020-01-13,Australia,858.14,11869
2020-01-13,Canada,962.81,14558
2020-01-14,Australia,870.16,7564
2020-01-14,United States,956.89,7620
2020-01-14,Canada,980.04,14104
2020-01-14,Romania,861.53,3488
2020-01-14,Germany,926.86,6663
2020-01-14,Argentina,843.82,2714
2020-01-15,Germany,938.58,6157
2020-01-15,Argentina,827.13,3839
2020-01-15,Romania,897.52,7317
2020-01-15,Australia,886.59,11316
2020-01-15,United States,957.42,6260
2020-01-15,Canada,1008.8,12962
2020-01-16,Germany,940.55,4235
2020-01-16,Romania,874.96,6988
2020-01-16,Argentina,788.64,7277
2020-01-16,Australia,886.5,6541
2020-01-16,United States,973.26,10018
2020-01-16,Canada,1011.98,9382
2020-01-17,Germany,908.63,4806
2020-01-17,Argentina,812.63,7284
2020-01-17,Romania,867.41,6540
2020-01-17,Australia,885.48,17625
2020-01-17,Canada,1011.15,5325
2020-01-17,United States,924.22,7121
2020-01-18,Germany,913.48,6773
2020-01-18,Romania,887.42,5552
2020-01-18,Argentina,825.57,5489
2020-01-18,Canada,993.73,11321
2020-01-18,Australia,886.27,10600
2020-01-18,United States,966.89,11197
2020-01-19,United States,949.69,5659
2020-01-19,Australia,870.48,17995
2020-01-19,Canada,1009.7,14359
2020-01-19,Argentina,829.45,3145
2020-01-19,Germany,905.93,6945
2020-01-19,Romania,886.01,6860
2020-01-20,Romania,890.47,5480
2020-01-20,United States,959.55,8300
2020-01-20,Australia,869.61,8107
2020-01-20,Germany,934.65,3108
2020-01-20,Argentina,788.18,5875
2020-01-20,Canada,1002.62,13604
2020-01-21,Germany,964.14,7573
2020-01-21,Romania,835.84,5292
2020-01-21,Argentina,807.14,2940
2020-01-21,United States,979.01,6190
2020-01-21,Australia,895.18,9616
2020-01-21,Canada,1025.62,7619
2020-01-22,United States,972.42,6983
2020-01-22,Australia,890.83,7337
2020-01-22,Canada,1003.54,11549
2020-01-22,Argentina,817.58,5332
2020-01-22,Germany,932.83,3286
2020-01-22,Romania,887.76,4843
2020-01-23,Romania,864.27,6596
2020-01-23,Germany,921.51,8444
2020-01-23,Argentina,798.14,5433
2020-01-23,Australia,859.11,13739
2020-01-23,United States,967.4,5501
